2025-06-30 14:27:00,178 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:00,216 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:00,312 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:00,776 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: What are heat exchanger types?... (stream: False)
2025-06-30 14:27:00,957 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:00,958 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:00,958 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,958 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,959 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Chemical reactor applications... (stream: False)
2025-06-30 14:27:00,960 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:00,960 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:00,960 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,961 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,961 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Explain vapor-liquid equilibrium... (stream: False)
2025-06-30 14:27:00,962 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:00,962 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:00,962 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,963 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:00,963 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:00,963 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:01,001 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:01,098 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
