2025-06-19 16:39:45,634 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae8690>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:45,641 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (11): us.i.posthog.com:443
2025-06-19 16:39:45,655 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:45,663 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae8910>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:45,664 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (12): us.i.posthog.com:443
2025-06-19 16:39:45,690 | backoff | ERROR | _common.py:120 | Giving up send_request(...) after 4 tries (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae8b90>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:46,227 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (13): us.i.posthog.com:443
2025-06-19 16:39:46,239 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:39:46,246 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae9090>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:46,247 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (14): us.i.posthog.com:443
2025-06-19 16:39:46,254 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:46,259 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae9450>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:46,265 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (15): us.i.posthog.com:443
2025-06-19 16:39:46,294 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 0.3s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae96d0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:46,628 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (16): us.i.posthog.com:443
2025-06-19 16:39:46,641 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:39:46,643 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045e710>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:46,643 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (17): us.i.posthog.com:443
2025-06-19 16:39:46,650 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:46,653 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045fb10>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:46,653 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (18): us.i.posthog.com:443
2025-06-19 16:39:46,665 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 0.8s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045f610>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:47,467 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (19): us.i.posthog.com:443
2025-06-19 16:39:47,469 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:39:47,469 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae8a50>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:47,469 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (20): us.i.posthog.com:443
2025-06-19 16:39:47,469 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:47,469 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae9d10>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:47,470 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (21): us.i.posthog.com:443
